Year,Name,College,POS,Height_in,Weight_lbs,Hand_Size_in,Arm_Length_in,40_Yard_sec,Bench_Press,Vert_Leap_In,Broad_Jump_in,Shuttle_Shuttle,3Cone,Team,Round,Draft_Order,Rush_Attempt_pg,GP,Total_Yrd_pg,TD,Rush_PA,Rush_Yds_Gm,Total_Yds
2020,Salvon Ahmed,Washington,RB,70.88,197,8.75,29.25,4.62,,34.5,120,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020,Cam Akers,Florida State,RB,70.38,217,9,30.63,4.47,20,35.5,122,4.42,,Rams,2,52,11.15,13,11.15,2,4.31,48.08,57.54
2020,Darius Anderson,Texas Christian,RB,70.5,208,9.63,30.5,4.61,19,36,128,4.19,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020,Levante Bellamy,Western Michigan,RB,68.88,192,8.75,30.25,4.5,16,39.5,125,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020,Eno Benjamin,Arizona State,RB,68.88,207,8.63,31.25,4.57,12,39,122,4.25,6.97,Cardinals,7,222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020,Lynn Bowden,Kentucky,RB,70.63,204,9.75,30.88,,13,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020,Raymond Calais,Louisiana-Lafayette,RB,67.88,188,9.25,30,4.42,20,37.5,120,,,Buccaneers,7,245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020,DeeJay Dallas,Miami (FL),RB,70.13,217,9.25,30.63,4.58,,33.5,119,4.32,7.18,Seahawks,4,144,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020,A.J. Dillon,Boston College,RB,72.38,247,9.63,31.63,4.53,23,41,131,,7.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020,J.K. Dobbins,Ohio State,RB,69.5,209,9.5,29.75,,23,,,,,Ravens,2,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
